Date,Age_DPF,trt,Treatment,pH,Food,Rep,Length,Count,Survival
9/15/2021,51,Ph_8_HighFood,Low OA,8,fed,A,2619.84654,625,1
9/15/2021,51,Ph_8_HighFood,Low OA,8,fed,B,2537.67244,625,1
9/15/2021,51,Ph_8_HighFood,Low OA,8,fed,C,1974.98718,625,1
9/15/2021,51,Ph_8_HighFood,Low OA,8,fed,D,2200.76154,625,1
9/15/2021,51,Ph_8_LowFood,Moderate OA,7.5,fed,A,2462.39172,625,1
9/15/2021,51,Ph_8_LowFood,Moderate OA,7.5,fed,B,2435.23616,625,1
9/15/2021,51,Ph_8_LowFood,Moderate OA,7.5,fed,C,2195.13648,625,1
9/15/2021,51,Ph_8_LowFood,Moderate OA,7.5,fed,D,2294.18092,625,1
9/15/2021,51,Ph_7.5_HighFood,Low OA,8,unfed,A,2619.84654,625,1
9/15/2021,51,Ph_7.5_HighFood,Low OA,8,unfed,B,2537.67244,625,1
9/15/2021,51,Ph_7.5_HighFood,Low OA,8,unfed,C,1974.98718,625,1
9/15/2021,51,Ph_7.5_HighFood,Low OA,8,unfed,D,2200.76154,625,1
9/15/2021,51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,A,2462.39172,625,1
9/15/2021,51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,B,2435.23616,625,1
9/15/2021,51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,C,2195.13648,625,1
9/15/2021,51,Ph_7.5_LowFood,Moderate OA,7.5,unfed,D,2294.18092,625,1
9/28/2021,64,Ph_8_HighFood,Low OA,8,fed,A,4158.12818,624,1
9/28/2021,64,Ph_8_HighFood,Low OA,8,fed,B,3654.172289,627,1
9/28/2021,64,Ph_8_HighFood,Low OA,8,fed,C,3319.94288,618,0.99
9/28/2021,64,Ph_8_HighFood,Low OA,8,fed,D,3738.61818,601,0.96
9/28/2021,64,Ph_7.5_HighFood,Moderate OA,7.5,fed,A,2371.87678,609,0.97
9/28/2021,64,Ph_7.5_HighFood,Moderate OA,7.5,fed,B,2486.396537,631,1
9/28/2021,64,Ph_7.5_HighFood,Moderate OA,7.5,fed,C,1978.264439,622,1
9/28/2021,64,Ph_7.5_HighFood,Moderate OA,7.5,fed,D,2329.329488,608,0.97
9/28/2021,64,Ph_8_LowFood,Low OA,8,unfed,A,3325.87822,547,0.88
9/28/2021,64,Ph_8_LowFood,Low OA,8,unfed,B,3632.290857,598,0.96
9/28/2021,64,Ph_8_LowFood,Low OA,8,unfed,C,3865.32744,503,0.8
9/28/2021,64,Ph_8_LowFood,Low OA,8,unfed,D,3739.89202,616,0.99
9/28/2021,64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,A,2228.92078,600,0.96
9/28/2021,64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,B,2423.429049,630,1
9/28/2021,64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,C,2360.375732,340,0.54
9/28/2021,64,Ph_7.5_LowFood,Moderate OA,7.5,unfed,D,2249.92061,609,0.97
10/25/2021,92,Ph_8_HighFood,Low OA,8,fed,A,NA,467,0.934
10/25/2021,92,Ph_8_HighFood,Low OA,8,fed,B,NA,471,0.942
10/25/2021,92,Ph_8_HighFood,Low OA,8,fed,C,NA,506,1
10/25/2021,92,Ph_8_HighFood,Low OA,8,fed,D,NA,463,0.926
10/25/2021,92,Ph_7.5_HighFood,Moderate OA,7.5,fed,A,NA,453,0.906
10/25/2021,92,Ph_7.5_HighFood,Moderate OA,7.5,fed,B,NA,484,0.968
10/25/2021,92,Ph_7.5_HighFood,Moderate OA,7.5,fed,C,NA,466,0.932
10/25/2021,92,Ph_7.5_HighFood,Moderate OA,7.5,fed,D,NA,449,0.898
10/25/2021,92,Ph_8_LowFood,Low OA,8,unfed,A,NA,234,0.468
10/25/2021,92,Ph_8_LowFood,Low OA,8,unfed,B,NA,153,0.306
10/25/2021,92,Ph_8_LowFood,Low OA,8,unfed,C,NA,72,0.144
10/25/2021,92,Ph_8_LowFood,Low OA,8,unfed,D,NA,173,0.346
10/25/2021,92,Ph_7.5_LowFood,Moderate OA,7.5,unfed,A,NA,182,0.364
10/25/2021,92,Ph_7.5_LowFood,Moderate OA,7.5,unfed,B,NA,178,0.356
10/25/2021,92,Ph_7.5_LowFood,Moderate OA,7.5,unfed,C,NA,103,0.206
10/25/2021,92,Ph_7.5_LowFood,Moderate OA,7.5,unfed,D,NA,188,0.376
